"","id","title","author_id","description","content","date"
"35",35,"Novel spectral methods for shock capturing and the removal of tygers in computational fluid dynamics","Venkata Sai Swetha Kolluru, Nicolas Besse, Rahul Pandit","Numerical Analysis (math.NA)","Spectral methods yield numerical solutions of the Galerkin-truncated versions of nonlinear partial differential equations involved especially in fluid dynamics. In the presence of discontinuities, such as shocks, spectral approximations develop Gibbs oscillations near the discontinuity. This causes the numerical solution to deviate quickly from the true solution. For spectral approximations of the 1D inviscid Burgers equation, nonlinear wave resonances lead to the formation of tygers in well-resolved areas of the flow, far from the shock. Recently, Besse(to be published) has proposed novel spectral relaxation (SR) and spectral purging (SP) schemes for the removal of tygers and Gibbs oscillations in spectral approximations of nonlinear conservation laws. For the 1D inviscid Burgers equation, it is shown that the novel SR and SP approximations of the solution converge strongly in L2 norm to the entropic weak solution, under an appropriate choice of kernels and related parameters. In this work, we carry out a detailed numerical investigation of SR and SP schemes when applied to the 1D inviscid Burgers equation and report the efficiency of shock capture and the removal of tygers. We then extend our study to systems of nonlinear hyperbolic conservation laws - such as the 2x2 system of the shallow water equations and the standard 3x3 system of 1D compressible Euler equations. For the latter, we generalise the implementation of SR methods to non-periodic problems using Chebyshev polynomials. We then turn to singular flow in the 1D wall approximation of the 3D-axisymmetric wall-bounded incompressible Euler equation. Here, in order to determine the blowup time of the solution, we compare the decay of the width of the analyticity strip, obtained from the pure pseudospectral method, with the improved estimate obtained using the novel spectral relaxation scheme.","Tue, 27 Feb 2024 17:05:06 UTC (15,800 KB)"
"36",36,"Outlier-Detection for Reactive Machine Learned Potential Energy Surfaces","Luis Itza Vazquez-Salazar, Silvan Käser, Markus Meuwly","Chemical Physics (physics.chem-ph)","Uncertainty quantification (UQ) to detect samples with large expected errors (outliers) is applied to reactive molecular potential energy surfaces (PESs). Three methods - Ensembles, Deep Evidential Regression (DER), and Gaussian Mixture Models (GMM) - were applied to the H-transfer reaction between ${it syn-}$Criegee and vinyl hydroxyperoxide. The results indicate that ensemble models provide the best results for detecting outliers, followed by GMM. For example, from a pool of 1000 structures with the largest uncertainty, the detection quality for outliers is $sim 90$ % and $sim 50$ %, respectively, if 25 or 1000 structures with large errors are sought. On the contrary, the limitations of the statistical assumptions of DER greatly impacted its prediction capabilities. Finally, a structure-based indicator was found to be correlated with large average error, which may help to rapidly classify new structures into those that provide an advantage for refining the neural network.","Tue, 27 Feb 2024 17:01:21 UTC (5,252 KB)"
"37",37,"Attosecond Core-level Photoionization Delays of Aromatic Molecules","Jia-Bao Ji, Zhaoheng Guo, Taran Driver, Cynthia S. Trevisan, David Cesar, Xinxin Cheng, Joseph Duris, Paris L. Franz, James Glownia, Xiaochun Gong, Daniel Hammerland, Meng Han, Saijoscha Heck, Matthia","Chemical Physics (physics.chem-ph)","Attosecond photoionization delays are a unique probe of the structure and the electronic dynamics of matter, but valence-shell photoionization dynamics of polyatomic systems are often complicated and challenging to interpret because of the delocalized nature of the electronic wave functions. Here we use attosecond soft-X-ray pulses from LCLS to probe element-specific core-level photoionization delays between N-1s and C-1s core shells of aromatic azabenzene molecules containing one to three nitrogen atoms. Using a self-referenced technique, we measure absolute N-1s photoionization delays of up to 300 as, which increase with the number of nitrogen atoms in the molecule. Comparisons to molecular photoionization calculations reveal the dominant mechanisms to be the increasing trapping of the photoelectron wavefunction in the molecular plane, as well as the symmetry-induced decrease of the coupling strength among the partial waves. This study demonstrates the unique opportunities opened by measurements of core-level photoionization delays for unravelling attosecond electronic dynamics in the building blocks of biomolecules and molecular optoelectronics.","Tue, 27 Feb 2024 16:59:00 UTC (41,485 KB)"
"38",38,"Contractility-driven cell motility against a viscoelastic resistance","Tapas Singha, Pierre Sens","Biological Physics (physics.bio-ph)","We study a model of contraction-based cell motility inside a microchannel to investigate the regulation of cell polarization and motion by the mechanical resistance of the environment. A positive feedback between the asymmetry of the acto-myosin cortex density and cell motion gives rise to a spontaneous symmetry breaking beyond a threshold contractility that depends on the resistance of extracellular medium. In highly viscous environments, we predict bistability under moderate contractility, so that symmetry breaking needs to be activated. In a viscoelastic environment, we find periodic oscillations in cortex density and velocity polarization. At the boundary between viscous and viscoelastic environments, the cell may either cross into the viscoelastic medium, bounce back into the viscous medium, or become trapped at the boundary. The different scenarios defined different phase diagram that are confirmed by numerical simulations.","Tue, 27 Feb 2024 16:42:59 UTC (1,170 KB)"
"39",39,"TorchMD-Net 2.0: Fast Neural Network Potentials for Molecular Simulations","Raul P. Pelaez, Guillem Simeon, Raimondas Galvelis, Antonio Mirarchi, Peter Eastman, Stefan Doerr, Philipp Thölke, Thomas E. Markland, Gianni De Fabritiis","Machine Learning (cs.LG)","Achieving a balance between computational speed, prediction accuracy, and universal applicability in molecular simulations has been a persistent challenge. This paper presents substantial advancements in the TorchMD-Net software, a pivotal step forward in the shift from conventional force fields to neural network-based potentials. The evolution of TorchMD-Net into a more comprehensive and versatile framework is highlighted, incorporating cutting-edge architectures such as TensorNet. This transformation is achieved through a modular design approach, encouraging customized applications within the scientific community. The most notable enhancement is a significant improvement in computational efficiency, achieving a very remarkable acceleration in the computation of energy and forces for TensorNet models, with performance gains ranging from 2-fold to 10-fold over previous iterations. Other enhancements include highly optimized neighbor search algorithms that support periodic boundary conditions and the smooth integration with existing molecular dynamics frameworks. Additionally, the updated version introduces the capability to integrate physical priors, further enriching its application spectrum and utility in research. The software is available at this https URL.","Tue, 27 Feb 2024 16:27:06 UTC (722 KB)"
"40",40,"Computing eigenfrequency sensitivities near exceptional points","Felix Binkowski, Julius Kullig, Fridtjof Betz, Lin Zschiedrich, Andrea Walther, Jan Wiersig, Sven Burger","Computational Physics (physics.comp-ph)","Exceptional points are spectral degeneracies of non-Hermitian systems where both eigenfrequencies and eigenmodes coalesce. The eigenfrequency sensitivities near an exceptional point are significantly enhanced, whereby they diverge directly at the exceptional point. Capturing this enhanced sensitivity is crucial for the investigation and optimization of exceptional-point-based applications, such as optical sensors. We present a numerical framework, based on contour integration and algorithmic differentiation, to accurately and efficiently compute eigenfrequency sensitivities near exceptional points. We demonstrate the framework to an optical microdisk cavity and derive a semi-analytical solution to validate the numerical results. The computed eigenfrequency sensitivities are used to track the exceptional point along an exceptional surface in the parameter space. The presented framework can be applied to any kind of resonance problem, e.g., with arbitrary geometry or with exceptional points of arbitrary order.","Tue, 27 Feb 2024 16:18:40 UTC (1,156 KB)"
"41",41,"Current potential patches","Todd Elder, Allen H Boozer","Plasma Physics (physics.plasm-ph)","A novel form of the current potential, a mathematical tool for the design of stellarators and stellarator coils, is developed. Specifically, these are current potentials with a finite-element-like basis, called 	extit{current potential patches}. Current potential patches leverage the relationship between distributions of magnetic dipoles and current potentials to explore limits of the access properties of stellarator coil sets. An example calculation is shown using the Helically Symmetric Experiment (HSX) equilibrium, demonstrating the method's use in coil design and understanding the limits of the access properties of coil sets. Current potential patches have additional desirable properties such as of promoting sparse current sheet solutions and identifying crucial locations of shaping current placement. A result is found for the HSX equilibrium that shaping currents covering only 25% of the winding surface is sufficient to produce the equilibrium to a good accuracy.","Tue, 27 Feb 2024 16:00:21 UTC (24,191 KB)"
"42",42,"Sustained Robust Exciton Emission in Suspended Monolayer WSe_2 within the Low Carrier Density Regime for Quantum Emitter Applications","Zheng-Zhe Chen, Chiao-Yun Chang, Ya-Ting Tsai, Po-Cheng Tsai, Shih-Yen Lin, Min-Hsiung Shih","Optics (physics.optics)","The development of semiconductor optoelectronic devices is moving toward low power consumption and miniaturization, especially for high-efficiency quantum emitters. However, most of these quantum sources work at low carrier density region, where the Shockley-Read-Hall recombination may dominant and seriously reduce the emission efficiency. In order to diminish the affection of carrier trapping and sustain a strong photoluminescence emission under low power pumping condition, we investigated on the influence of Suspending to monolayered tungsten diselenide, novel two-dimensional quantum material. Not only the PL intensity, but also the fundamental photoluminescence quantum yield has exhibited a huge, order-scale enhancement through suspending, even surprisingly, we found the PLQY improvement revealed far significantly under small pumping power and came out an exponential increase tendency toward even lower carrier density region. With its strong excitonic effect, suspended WSe_2 offers a solution to reduce carrier trapping and participate in non-radiative processes. Moreover, in the low-power range where SRH recombination dominates, suspended WSe_2 exhibited remarkably higher percentage of excitonic radiation compared to contacted WSe_2. Herein, we quantitatively demonstrate the significance of suspended WSe_2 monolayer at low carrier density region, highlighting its potential for developing compact, low-power quantum emitters in the future.","Tue, 27 Feb 2024 15:29:31 UTC (1,767 KB)"
"43",43,"Onset of Air Entrainment by a smooth plunging jet under atmospheric pressure","Alain Cartellier, Juan Lasheras","Fluid Dynamics (physics.flu-dyn)","The onset of air entrainment by a smooth vertical liquid jet impacting a pool of the same liquid has been experimentally determined. The ranges of parameters covered complement those considered by Lin & Donnelly (1969). The influence of the jet curvature is clarified. A model based on the viscous stress acting on the interface proves to be in good agreement with the experiments in the limit of very viscous liquids. For less viscous liquids, the critical capillary number happens to be mainly controlled by the ratio of the dynamic viscosity of the air and of the liquid. Besides, the observed evolution of the critical capillary number agrees with the mechanism suggested by Eggers (2001) that is based on the cusp dynamic.","Tue, 27 Feb 2024 15:09:06 UTC (459 KB)"
"44",44,"Integrated, bright, broadband parametric down-conversion source for quantum metrology and spectroscopy","René Pollmann, Franz Roeder, Victor Quiring, Raimund Ricken, Christof Eigner, Benjamin Brecht, Christine Silberhorn","Quantum Physics (quant-ph)","Broadband quantum light is a vital resource for quantum metrology and spectroscopy applications such as quantum optical coherence tomography or entangled two photon absorption. For entangled two photon absorption in particular, very high photon flux combined with high time-frequency entanglement is crucial for observing a signal. So far these conditions could be met by using high power lasers driving degenerate, type 0 bulk-crystal spontaneous parametric down conversion (SPDC) sources. This naturally limits the available wavelength ranges and precludes deterministic splitting of the generated output photons. In this work we demonstrate an integrated two-colour SPDC source utilising a group-velocity matched lithium niobate waveguide, reaching both exceptional brightness $1.52cdot10^6frac{mathrm{pairs}}{mathrm{s,mW,GHz}}$ and large bandwidth ($7.8,$THz FWHM) while pumped with a few mW of continuous wave (CW) laser light. By converting a narrow band pump to broadband pulses the created photon pairs show correlation times of $Delta 	au approx 120,	ext{fs}$ while maintaining the narrow bandwidth $Delta omega_p ll 1,	ext{MHz}$ of the CW pump light, yielding strong time-frequency entanglement. Furthermore our process can be adapted to a wide range of central wavelengths.","Tue, 27 Feb 2024 13:57:16 UTC (465 KB)"
"45",45,"Comparative study of photo-induced electronic transport along ferroelectric domain walls in lithium niobate single crystals","Lili Ding, Elke Beyreuther, Boris Koppitz, Konrad Kempf, Jianhua Ren, Weijin Chen, Michael Rüsing, Yue Zheng, Lukas M. Eng","Applied Physics (physics.app-ph)","Ferroelectric domain wall conductivity (DWC) is an intriguing functional property, that can be controlled through external stimuli such as electric and mechanical fields. Optical-field control, as a non-invasive flexible handle, has rarely been applied so far, but significantly expands the possibility for both tuning and probing DWC. On the one hand, as known from Second-Harmonic, Raman, and CARS micro-spectroscopy, the optical in-and-out approach delivers parameters on the DW distribution, the DW inclination, and probes the DW vibrational modes; on the other hand, photons might be applied also to directly generate charge carriers within the DW, hence acting as a functional and spectrally tunable probe to deduce the integral or local absorption properties and bandgaps of conductive DWs. Here, we report on such an optoelectronic approach by investigating the photo-induced DWC (PI-DWC) in DWs of the model system lithium niobate, a material that is well known for hosting conductive DWs. We compare three different crystals containing different numbers of domain walls: (A) none, (B) one, and (C) many conductive DWs. All samples are inspected for their current-voltage (I-V) behavior (i) in darkness, and (ii) for different illumination wavelengths swept from 500 nm down to 310 nm. All samples show their maximum PI-DWC at 310 nm, i.e., at the optical bandgap of lithium niobate; moreover, sample (C) reaches PI-DWCs of several $mu$A. Interestingly, a noticeable PI-DWC is also observed for sub-bandgap illumination, i.e., wavelengths as high as 500 nm, hinting towards the existence and decisive role of electronic in-gap states that contribute to the electronic transport along DWs. Finally, conductive atomic force microscopy (c-AFM) investigations under illumination proved that the PI-DWC is confined to the DW area, and does not originate from photo-induced bulk conductivity.","Tue, 27 Feb 2024 13:47:52 UTC (2,184 KB)"
"46",46,"Thermodynamics-informed super-resolution of scarce temporal dynamics data","Carlos Bermejo-Barbanoj, Beatriz Moya, Alberto Badías, Francisco Chinesta, Elías Cueto","Computational Physics (physics.comp-ph)","We present a method to increase the resolution of measurements of a physical system and subsequently predict its time evolution using thermodynamics-aware neural networks. Our method uses adversarial autoencoders, which reduce the dimensionality of the full order model to a set of latent variables that are enforced to match a prior, for example a normal distribution. Adversarial autoencoders are seen as generative models, and they can be trained to generate high-resolution samples from low-resoution inputs, meaning they can address the so-called super-resolution problem. Then, a second neural network is trained to learn the physical structure of the latent variables and predict their temporal evolution. This neural network is known as an structure-preserving neural network. It learns the metriplectic-structure of the system and applies a physical bias to ensure that the first and second principles of thermodynamics are fulfilled. The integrated trajectories are decoded to their original dimensionality, as well as to the higher dimensionality space produced by the adversarial autoencoder and they are compared to the ground truth solution. The method is tested with two examples of flow over a cylinder, where the fluid properties are varied between both examples.","Tue, 27 Feb 2024 13:46:45 UTC (3,624 KB)"
"47",47,"Collisional excitation of propyne (CH$_3$CCH) by He atoms","M. Ben Khalifa, B. Darna, J. Loreau","Astrophysics of Galaxies (astro-ph.GA)","A detailed interpretation of the detected emission lines of environments in which propyne (or methyl acetylene, CH$_3$CCH) is observed requires a knowledge of its collisional rate coefficients with the most abundant species in the interstellar medium, He or H$_2$. We present the first three-dimensional potential energy surface (3D-PES) for the CH$_3$CCH-He molecular complex, study the dynamics of the collision, and report the first set of rate coefficients for temperatures up to 100 K for the collisional excitation of the lowest 60 ortho rotational levels and 60 para rotational levels of CH$_3$CCH by He atoms. We computed the 3D-PES with the explicitly correlated coupled-cluster with single-, double-, and perturbative triple-excitation method, in conjunction with the augmented correlation-consistent triple zeta basis set (CCSD(T)-F12a/aug-cc-pVTZ). The 3D-PES was fitted to an analytical function. Scattering computations of pure rotational (de-)excitation of CH$_3$CCH by collision with He atoms were performed and the state-to-state cross sections were computed using the close coupling method for total energies up to 100 cm$^{-1}$ and with the coupled states approximation at higher energy for both ortho and para symmetries of CH$_3$CCH. The PES obtained is caracterized by a large anisotropy and a potential well depth of 51.04 cm$^{-1}$. By thermally averaging the collisional cross sections, we determined quenching rate coefficients for kinetic temperatures up to 100 K. A strong even $Delta j$ propensity rule at almost all collision energies exists for CH$_3$CCH-He complex. To evaluate the impact of rate coefficients in the analysis of observations, we carried out non-LTE radiative transfer computations of the excitation temperatures and we demonstrate that LTE conditions are typically not fulfilled for the propyne molecule.","Tue, 27 Feb 2024 13:17:19 UTC (550 KB)"
"48",48,"Equilibria and Dynamics of two coupled chains of interacting dipoles","Manuel Iñarrea, J.Pablo Salas, R.González-Férez, P.Schmelcher","Atomic and Molecular Clusters (physics.atm-clus)","We explore the energy transfer dynamics in an array of two chains of identical rigid interacting dipoles. A crossover between two different ground state (GS) equilibrium configurations is observed with varying distance between the two chains of the array. Linearizing around the GS configurations, we verify that interactions up to third nearest neighbors should be accounted for accurately describe the resulting dynamics. Starting with one of the GS, we excite the system by supplying it with an excess energy DK located initially on one of the dipoles. We study the time evolution of the array for different values of the system parameters b and DK. Our focus is hereby on two features of the energy propagation: the redistribution of the excess energy DK among the two chains and the energy localization along each chain. For typical parameter values, the array of dipoles reaches both the equipartition between the chains and the thermal equilibrium from the early stages of the time evolution. Nevertheless, there is a region in parameter space (b,DK) where even up to the long computation time of this study, the array does neither reach energy equipartition nor thermalization between chains. This fact is due to the existence of persistent chaotic breathers.","Tue, 27 Feb 2024 12:53:02 UTC (5,670 KB)"
"49",49,"Field, frequency and temperature dependence of the surface resistance of nitrogen diffused niobium superconducting radio frequency cavities","P. Dhakal, B.D. Khanal, A. Gurevich, G. Ciovati","Superconductivity (cond-mat.supr-con)","We report the RF performance of several single-cell superconducting radio-frequency cavities subjected to low temperature heat treatment in nitrogen environment. The cavities were treated at temperature 120 - 165 C for an extended period of time (24 - 48 hours) either in high vacuum or in a low partial pressure of ultra-pure nitrogen. The improvement in Q0 with a Q-rise was observed when nitrogen gas was injected at 300 C during the cavity cooldown from 800 C and held at 165 C, without any degradation in accelerating gradient over the baseline performance. The treatment was applied to several elliptical cavities with frequency ranging from 0.75 GHz to 3.0 GHz, showing an improved quality factor as a result of low temperature nitrogen treatments. The Q-rise feature is similar to that achieved by nitrogen alloying Nb cavities at higher temperature, followed by material removal by electropolishing. The surface modification was confirmed by the change in electronic mean free path and tuned with the temperature and duration of heat treatment. The decrease of the temperature-dependent surface resistance with increasing RF field, resulting in a Q-rise, becomes stronger with increasing frequency and decreasing temperature. The data suggest a crossover frequency of 0.95 GHz above which the Q-rise phenomenon occurs at 2 K. Some of these results can be explained qualitatively with an existing model which calculates the intrinsic field dependence of the surface resistance, considering both equilibrium and nonequilibrium quasiparticle distribution functions.","Tue, 27 Feb 2024 12:29:56 UTC (8,993 KB)"
"50",50,"Segment anything model for head and neck tumor segmentation with CT, PET and MRI multi-modality images","Jintao Ren, Mathis Rasmussen, Jasper Nijkamp, Jesper Grau Eriksen, Stine Korreman","Medical Physics (physics.med-ph)","Deep learning presents novel opportunities for the auto-segmentation of gross tumor volume (GTV) in head and neck cancer (HNC), yet fully automatic methods usually necessitate significant manual refinement. This study investigates the Segment Anything Model (SAM), recognized for requiring minimal human prompting and its zero-shot generalization ability across natural images. We specifically examine MedSAM, a version of SAM fine-tuned with large-scale public medical images. Despite its progress, the integration of multi-modality images (CT, PET, MRI) for effective GTV delineation remains a challenge. Focusing on SAM's application in HNC GTV segmentation, we assess its performance in both zero-shot and fine-tuned scenarios using single (CT-only) and fused multi-modality images. Our study demonstrates that fine-tuning SAM significantly enhances its segmentation accuracy, building upon the already effective zero-shot results achieved with bounding box prompts. These findings open a promising avenue for semi-automatic HNC GTV segmentation.","Tue, 27 Feb 2024 12:26:45 UTC (1,062 KB)"
"51",51,"Non-monotonic surface tension leads to spontaneous symmetry breaking in a binary evaporating drop","Christian Diddens, Pim J. Dekker, Detlef Lohse","Fluid Dynamics (physics.flu-dyn)","The evaporation of water/1,2-hexanediol binary drops shows remarkable segregation dynamics, with hexanediol-rich spots forming at the rim, thus breaking axisymmetry. While the segregation of hexanediol near the rim can be attributed to the preferential evaporation of water, the symmetry-breaking and spot formation could not yet be successfully explained. With three-dimensional simulations and azimuthal stability analysis of a minimal model, we investigate the flow and composition in the drop. We show that a slightly non-monotonic surface tension causes the emergence of a counter-rotating Marangoni vortex in the hexanediol-rich rim region, which subsequently becomes azimuthally unstable and forms the observed spots. Accurate measurements reveal that the surface tension is indeed non-monotonic (~0.3 mN/m). This work provides valuable insight for applications like inkjet printing or spray cooling.","Tue, 27 Feb 2024 12:15:40 UTC (6,691 KB)"
"52",52,"Skyrmion Generation in a Plasmonic Nanoantenna through the Inverse Faraday Effect","Xingyu Yang, Ye Mou, Bruno Gallas, Sébastien Bidault, Mathieu Mivelle","Optics (physics.optics)","Skyrmions are topological structures characterized by a winding vectorial configuration that provides a quantized topological charge. In magnetic materials, skyrmions are localized spin textures that exhibit unique stability and mobility properties, making them highly relevant to the burgeoning field of spintronics. In optics, these structures open new frontiers in manipulating and controlling light at the nanoscale. The convergence of optics and magnetics holds therefore immense potential for manipulating magnetic processes at ultrafast timescales. Here, we explore the possibility of generating skyrmionic topological structures within the magnetic field induced by the inverse Faraday effect in a plasmonic nanostructure. Our investigation reveals that a gold nanoring, featuring a dark mode, can generate counter-propagating photocurrents between its inner and outer segments, thereby enabling the magnetization of gold and supporting a skyrmionic vectorial distribution. We elucidate that these photocurrents arise from the localized control of light polarization, facilitating their counter-propagative motion. The generation of skyrmions through the inverse Faraday effect at the nanoscale presents a pathway towards directly integrating this topology into magnetic layers. This advancement holds promise for ultrafast timescales, offering direct applications in ultrafast data writing and processing.","Tue, 27 Feb 2024 11:35:47 UTC (8,014 KB)"
"53",53,"A novel image space formalism of Fourier domain interpolation neural networks for noise propagation analysis","Peter Dawood, Felix Breuer, Istvan Homolya, Jannik Stebani, Maximilian Gram, Peter M. Jakob, Moritz Zaiss, Martin Blaimer","Computer Vision and Pattern Recognition (cs.CV)","Purpose: To develop an image space formalism of multi-layer convolutional neural networks (CNNs) for Fourier domain interpolation in MRI reconstructions and analytically estimate noise propagation during CNN inference. Theory and Methods: Nonlinear activations in the Fourier domain (also known as k-space) using complex-valued Rectifier Linear Units are expressed as elementwise multiplication with activation masks. This operation is transformed into a convolution in the image space. After network training in k-space, this approach provides an algebraic expression for the derivative of the reconstructed image with respect to the aliased coil images, which serve as the input tensors to the network in the image space. This allows the variance in the network inference to be estimated analytically and to be used to describe noise characteristics. Monte-Carlo simulations and numerical approaches based on auto-differentiation were used for validation. The framework was tested on retrospectively undersampled invivo brain images. Results: Inferences conducted in the image domain are quasi-identical to inferences in the k-space, underlined by corresponding quantitative metrics. Noise variance maps obtained from the analytical expression correspond with those obtained via Monte-Carlo simulations, as well as via an auto-differentiation approach. The noise resilience is well characterized, as in the case of classical Parallel Imaging. Komolgorov-Smirnov tests demonstrate Gaussian distributions of voxel magnitudes in variance maps obtained via Monte-Carlo simulations. Conclusion: The quasi-equivalent image space formalism for neural networks for k-space interpolation enables fast and accurate description of the noise characteristics during CNN inference, analogous to geometry-factor maps in traditional parallel imaging methods.","Tue, 27 Feb 2024 11:01:58 UTC (1,871 KB)"
"54",54,"Generative diffusion model for surface structure discovery","Nikolaj Rønne, Alán Aspuru-Guzik, Bjørk Hammer","Computational Physics (physics.comp-ph)","We present a generative diffusion model specifically tailored to the discovery of surface structures. The generative model takes into account substrate registry and periodicity by including masked atoms and $z$-directional confinement. Using a rotational equivariant neural network architecture, we design a method that trains a denoiser-network for diffusion alongside a force-field for guided sampling of low-energy surface phases. An effective data-augmentation scheme for training the denoiser-network is proposed to scale generation far beyond training data sizes. We showcase the generative model by investigating silver-oxide phases on Ag$(111)$ where we are able to rediscover the ``$mathrm{Ag}_6$ model'' of $p(4	imes4)mathrm{O/Ag}(111)$ that took scientist years to uncover by means of human intuition.","Tue, 27 Feb 2024 10:50:53 UTC (661 KB)"
"55",55,"Beacon, a lightweight deep reinforcement learning benchmark library for flow control","Jonathan Viquerat, Philippe Meliga, Pablo Jeken, Elie Hachem","Computational Physics (physics.comp-ph)","Recently, the increasing use of deep reinforcement learning for flow control problems has led to a new area of research, focused on the coupling and the adaptation of the existing algorithms to the control of numerical fluid dynamics environments. Although still in its infancy, the field has seen multiple successes in a short time span, and its fast development pace can certainly be partly imparted to the open-source effort that drives the expansion of the community. Yet, this emerging domain still misses a common ground to (i) ensure the reproducibility of the results, and (ii) offer a proper ad-hoc benchmarking basis. To this end, we propose Beacon, an open-source benchmark library composed of seven lightweight 1D and 2D flow control problems with various characteristics, action and observation space characteristics, and CPU requirements. In this contribution, the seven considered problems are described, and reference control solutions are provided. The sources for the following work are available at this https URL.","Tue, 27 Feb 2024 10:48:56 UTC (4,174 KB)"
"56",56,"Quantum entanglement enabled ellipsometer for phase retardance measurement","Meng-Yu Xie, Su-Jian Niu, Yin-Hai Li, Zheng Ge, Ming-Yuan Gao, Zhao-Qi-Zhi Han, Ren-Hui Chen, Zhi-Yuan Zhou, Bao-Sen Shi","Quantum Physics (quant-ph)","An ellipsometer is a vital precision tool used for measuring optical parameters with wide applications in many fields, including accurate measurements in film thickness, optical constants, structural profiles, etc. However, the precise measurement of photosensitive materials meets huge obstacles because of the excessive input photons, therefore the requirement of enhancing detection accuracy under low incident light intensity is an essential topic in the precision measurement. In this work, by combining a polarization-entangled photon source with a classical transmission-type ellipsometer, the quantum ellipsometer with the PSA (Polarizer-Sample-Analyzer) and the Senarmount method is constructed firstly to measure the phase retardation of the birefringent materials. The experimental results show that the accuracy can reach to nanometer scale at extremely low input intensity, and the stability are within 1% for all specimens tested with a compensator involved. Our work paves the way for precision measurement at low incident light intensity, with potential applications in measuring photosensitive materials, active-biological samples and other remote monitoring scenarios.","Tue, 27 Feb 2024 10:48:22 UTC (1,780 KB)"
"57",57,"Spatial super-resolution in nanosensing with blinking emitters","Alexander Mikhalychev, Aleksandr Saushin, Alex Ulyanenkov, Polina Kuzhir","Optics (physics.optics)","We propose a method of spatial resolution enhancement in metrology (thermometry, magnetometry, pH estimation and similar methods) with blinking fluorescent nanosensors by combining sensing with super-resolution optical fluctuation imaging (SOFI). To demonstrate efficiency of this approach, a model experiment with laser diodes modeling fluctuating nanoemitters and intentional blurring of the image is performed. The 2nd, 3rd, and 4th order cumulant images provide improvement of the contrast and enable successful reconstruction of smaller features of the modeled temperature (or any other physical parameter) distribution relatively to the intensity-based approach. We believe that blinking fluorescent sensing agents being complemented with the developed image analysis technique could be utilized routinely in the life science sector for recognizing the local changes in the spectral response of blinking fluorophores, e.g. delivered targetly to the wanted cell or even organelle. It is extremely useful for the local measurements of living cells' physical parameters changes due to applying any external ""forces"", including disease effect, aging, healing or response to the treatment.","Tue, 27 Feb 2024 10:38:05 UTC (2,885 KB)"
"58",58,"Coupled-cluster approach to Coster-Kronig decay and Auger decay in hydrogen sulfide and argon","Jan Philipp Drennhaus, Anthuan Ferino-Pérez, Florian Matz, Thomas-C. Jagau","Chemical Physics (physics.chem-ph)","We perform ab initio simulations of the total and partial Auger decay widths of 1s^-1, 2s^-1, and 2p^-1 ionized hydrogen sulfide and 2s^-1 ionized argon with non-Hermitian quantum chemistry. We use coupled cluster theory with single and double substitutions (CCSD) and equation of motion CCSD (EOM-CCSD) and discuss the novel application of (equation of motion-) second order Møller-Plesset perturbation theory (MP2). We find good agreement between the methods for the 1s^-1 hole of H2S, whereas for the other holes we can only use the EOM methods. We obtain very large decay widths of the 2s^-1-vacant states due to intense Coster-Kronig transitions with excellent agreement to experiments. The three 2p^-1 holes show completely different spectra because a decay channel is only significant when one of the final holes is spatially aligned with the initial hole. Lastly, we observe that triplet channels are much more important for the 2s^-1 and 2p^-1 holes than for the 1s^-1 hole, for which it is well known that triplet channels only contribute weakly to the total Auger intensity.","Tue, 27 Feb 2024 10:03:03 UTC (1,520 KB)"
"59",59,"Superconducting Electronic Device Response Linearity Calculation Method Using Discrete Fourier Analysis","Nikolay V. Kolotinskiy, Victor K. Kornev","Superconductivity (cond-mat.supr-con)","A method for estimating the linearity of superconducting electronic devices is discussed. The method allows the obtaining of expected spurious-free dynamic range values based on the results of preliminary numerical modeling and solving optimization problems. A description of the method and an analysis of measurement errors are provided.","Tue, 27 Feb 2024 10:02:12 UTC (99 KB)"
"60",60,"Comment on ""Mode Structure and Orbital Angular Momentum of Spatiotemporal Optical Vortex (STOV) Pulses""","Miguel A. Porras","Optics (physics.optics)","We report a mathematical error and a misinterpretation in arXiv:2103.03263v4 [Phys. Rev. Lett. {f 127}, 193901 (2021)] that has led to a debate about the nature of the transverse orbital angular momentum (OAM) of spatiotemporal optical vortices (STOVs). The transverse OAM of STOVs evaluated theoretically in that Letter is actually only the intrinsic contribution, while the operators used to evaluate the intrinsic and extrinsic contributions are not Hermitian operators as they may lead to complex-valued expectation values.","Tue, 27 Feb 2024 09:46:53 UTC (4 KB)"
